series,episode,baker,signature_bake,show_stopper,technical,result,last_name,baker_age,baker_occupation,hometown
2,1,Simon,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,9,IN,Blackwell,31,Rugby Coach,Norfolk
2,1,Urvashi,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,7,IN,Roe,40,Head of Marketing,"Enfield, London"
2,1,Yasmin,Cardamom and Pomegranate Cupcakes,UNKNOWN,5,IN,Limbert,43,Childminder,"West Kirby, The Wirral"
2,2,Ben,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,1,IN,Frazer,31,Graphic Designer,Northampton
2,2,Holly,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,4,IN,Bell,31,Advertising executive,Leicester
2,2,Ian,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,2,IN,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,2,Janet,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,8,IN,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,2,Jason,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,3,STAR BAKER,White,19,Civil Engineering Student,Croydon
2,2,Joanne,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,10,IN,NA,NA,NA,NA
2,2,Mary,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,9,IN,Anne,45,Housewife,"Kidderminster, Worcestershire"
2,2,Robert,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",5,IN,Billington,25,Photographer,London
2,2,Simon,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",11,OUT,Blackwell,31,Rugby Coach,Norfolk
2,2,Urvashi,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,7,IN,Roe,40,Head of Marketing,"Enfield, London"
2,2,Yasmin,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,6,IN,Limbert,43,Childminder,"West Kirby, The Wirral"
2,3,Ben,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,3,IN,Frazer,31,Graphic Designer,Northampton
2,3,Holly,Picnic Loaf,Stilton and Walnut Rolls,6,IN,Bell,31,Advertising executive,Leicester
2,3,Ian,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,10,OUT,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,3,Janet,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,8,IN,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,3,Jason,Cheese and Onion Tear and Share Loaf,UNKNOWN,7,IN,White,19,Civil Engineering Student,Croydon
2,3,Joanne,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,1,IN,NA,NA,NA,NA
2,3,Mary,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,5,IN,Anne,45,Housewife,"Kidderminster, Worcestershire"
2,3,Robert,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,4,IN,Billington,25,Photographer,London
2,3,Urvashi,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,9,OUT,Roe,40,Head of Marketing,"Enfield, London"
2,3,Yasmin,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",2,STAR BAKER,Limbert,43,Childminder,"West Kirby, The Wirral"
2,4,Ben,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,5,OUT,Frazer,31,Graphic Designer,Northampton
2,4,Holly,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",3,STAR BAKER,Bell,31,Advertising executive,Leicester
2,4,Janet,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",4,IN,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,4,Jason,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",1,STAR BAKER,White,19,Civil Engineering Student,Croydon
2,4,Joanne,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,8,IN,NA,NA,NA,NA
2,4,Mary,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,2,IN,Anne,45,Housewife,"Kidderminster, Worcestershire"
2,4,Robert,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,7,IN,Billington,25,Photographer,London
2,4,Yasmin,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,6,IN,Limbert,43,Childminder,"West Kirby, The Wirral"
2,5,Holly,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,4,IN,Bell,31,Advertising executive,Leicester
2,5,Janet,Chicken and Chestnut Pie,Rhubarb Meringue Pie,1,STAR BAKER,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,5,Jason,Brown Down Chicken Pie,Plum Meringue Pie,7,OUT,White,19,Civil Engineering Student,Croydon
2,5,Joanne,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,6,IN,NA,NA,NA,NA
2,5,Mary,Chicken and Bacon Pie,Midnight Meringue,2,IN,Anne,45,Housewife,"Kidderminster, Worcestershire"
2,5,Robert,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,3,OUT,Billington,25,Photographer,London
2,5,Yasmin,Family Fish Pie,Peach and Raspberry Meringue Pie,5,IN,Limbert,43,Childminder,"West Kirby, The Wirral"
2,6,Holly,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,3,IN,Bell,31,Advertising executive,Leicester
2,6,Janet,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,5,IN,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,6,Joanne,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,1,STAR BAKER,NA,NA,NA,NA
2,6,Mary,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,4,IN,Anne,45,Housewife,"Kidderminster, Worcestershire"
2,6,Yasmin,Baked Amaretto Cheesecake,Rose Croquembouche,2,OUT,Limbert,43,Childminder,"West Kirby, The Wirral"
2,7,Holly,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",1,IN,Bell,31,Advertising executive,Leicester
2,7,Janet,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,4,OUT,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,7,Joanne,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,3,IN,NA,NA,NA,NA
2,7,Mary,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,2,IN,Anne,45,Housewife,"Kidderminster, Worcestershire"
2,8,Holly,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,2,Runner-up,Bell,31,Advertising executive,Leicester
2,8,Joanne,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",1,WINNER,NA,NA,NA,NA
2,8,Mary,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,3,Runner-up,Anne,45,Housewife,"Kidderminster, Worcestershire"
3,1,Brendan,"Plum, Sour Cherry & Walnut",UNKNOWN,10,IN,Lynch,63,Recruitment consultant,Sutton Coldfield
3,1,Cathryn,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,5,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,1,Danny,"Plum, Ginger & Orange",UNKNOWN,7,IN,Bryden,45,Intensive care consultant,Sheffield
3,1,James,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",2,IN,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,1,John,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,11,IN,Whaite,22,Law student,Wigan
3,1,Manisha,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,6,IN,Parmar,27,Nursery nurse,Leicester
3,1,Natasha,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,12,OUT,Stringer,36,Midwife,"Tamworth, Staffordshire"
3,1,Peter,"Pear, Muscat & Chocolate",Jubilee Cake,3,IN,Maloney,43,Sales manager,"Windsor, Berkshire"
3,1,Ryan,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,8,IN,Chong,38,Photographer,Bristol
3,1,Sarah,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,1,IN,Jane,28,Vicar's wife,"Bewbush, West Sussex"
3,1,Stuart,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,9,IN,Marston,26,PE teacher,"Lichfield, Staffordshire"
3,1,Victoria,Pear and Pecan,Blackbird Pie Cake,4,STAR BAKER,Chester,50,CEO of the charity Plantlife,Somerset
3,2,Brendan,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",4,IN,Lynch,63,Recruitment consultant,Sutton Coldfield
3,2,Cathryn,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",8,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,2,Danny,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,3,IN,Bryden,45,Intensive care consultant,Sheffield
3,2,James,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",2,IN,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,2,John,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",1,STAR BAKER,Whaite,22,Law student,Wigan
3,2,Manisha,Indian FlatbreadsItalian Flatbreads,UNKNOWN,6,IN,Parmar,27,Nursery nurse,Leicester
3,2,Peter,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",11,OUT,Maloney,43,Sales manager,"Windsor, Berkshire"
3,2,Ryan,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",5,IN,Chong,38,Photographer,Bristol
3,2,Sarah,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,10,IN,Jane,28,Vicar's wife,"Bewbush, West Sussex"
3,2,Stuart,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",9,IN,Marston,26,PE teacher,"Lichfield, Staffordshire"
3,2,Victoria,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",7,IN,Chester,50,CEO of the charity Plantlife,Somerset
3,3,Brendan,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",9,IN,Lynch,63,Recruitment consultant,Sutton Coldfield
3,3,Cathryn,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",3,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,3,Danny,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",2,IN,Bryden,45,Intensive care consultant,Sheffield
3,3,James,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",1,STAR BAKER,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,3,John,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",6,IN,Whaite,22,Law student,Wigan
3,3,Manisha,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,10,IN,Parmar,27,Nursery nurse,Leicester
3,3,Ryan,Spiced Pear Tarte Tatin,UNKNOWN,5,IN,Chong,38,Photographer,Bristol
3,3,Sarah,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,8,IN,Jane,28,Vicar's wife,"Bewbush, West Sussex"
3,3,Stuart,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,7,IN,Marston,26,PE teacher,"Lichfield, Staffordshire"
3,3,Victoria,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,4,OUT,Chester,50,CEO of the charity Plantlife,Somerset
3,4,Brendan,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",1,STAR BAKER,Lynch,63,Recruitment consultant,Sutton Coldfield
3,4,Cathryn,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",3,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,4,Danny,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",2,IN,Bryden,45,Intensive care consultant,Sheffield
3,4,James,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",5,IN,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,4,John,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,6,IN,Whaite,22,Law student,Wigan
3,4,Manisha,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,9,IN,Parmar,27,Nursery nurse,Leicester
3,4,Ryan,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",7,IN,Chong,38,Photographer,Bristol
3,4,Sarah,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,4,IN,Jane,28,Vicar's wife,"Bewbush, West Sussex"
3,4,Stuart,Black Forest Torte,Choca Blocka Mocha Meringue,8,OUT,Marston,26,PE teacher,"Lichfield, Staffordshire"
3,5,Brendan,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,3,IN,Lynch,63,Recruitment consultant,Sutton Coldfield
3,5,Cathryn,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,1,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,5,Danny,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,7,IN,Bryden,45,Intensive care consultant,Sheffield
3,5,James,Four Pig Wellington,Sweet Potato Pie,6,IN,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,5,John,Venison and Haggis Wellington,Star-Spangled Pecan Pie,2,IN,Whaite,22,Law student,Wigan
3,5,Manisha,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie,5,OUT,Parmar,27,Nursery nurse,Leicester
3,5,Ryan,Curry Spiced Seabass Wellington,Key Lime Pie,8,STAR BAKER,Chong,38,Photographer,Bristol
3,5,Sarah,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,4,IN,Jane,28,Vicar's wife,"Bewbush, West Sussex"
3,6,Brendan,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",1,STAR BAKER,Lynch,63,Recruitment consultant,Sutton Coldfield
3,6,Cathryn,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,3,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,6,Danny,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",2,IN,Bryden,45,Intensive care consultant,Sheffield
3,6,James,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",7,IN,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,6,John,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,5,IN,Whaite,22,Law student,Wigan
3,6,Ryan,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",6,IN,Chong,38,Photographer,Bristol
3,6,Sarah,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,4,IN,Jane,28,Vicar's wife,"Bewbush, West Sussex"
3,7,Brendan,Chelsea Bunskis,Black Forest Christmas Stollen,4,IN,Lynch,63,Recruitment consultant,Sutton Coldfield
3,7,Cathryn,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,5,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,7,Danny,Bakewell Chelsea Buns,European Christmas Wreath,2,STAR BAKER,Bryden,45,Intensive care consultant,Sheffield
3,7,James,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,1,IN,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,7,John,Cherry and Almond Saffron Buns,Marzipan Stollen,3,IN,Whaite,22,Law student,Wigan
3,7,Ryan,Lardy Cakes,Char Siu Bao,6,OUT,Chong,38,Photographer,Bristol
3,7,Sarah,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,7,OUT,Jane,28,Vicar's wife,"Bewbush, West Sussex"
3,8,Brendan,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,2,IN,Lynch,63,Recruitment consultant,Sutton Coldfield
3,8,Cathryn,Cheese and Pickle Crackers,Gingerbread Buckingham Palace,5,OUT,Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,8,Danny,Spiced Almond Drinks Crackers,Gingerbread Big Ben,4,IN,Bryden,45,Intensive care consultant,Sheffield
3,8,James,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn,1,STAR BAKER,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,8,John,Asian Spice Crackers,Gingerbread Roman Coliseum,3,IN,Whaite,22,Law student,Wigan
3,9,Brendan,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,3,IN,Lynch,63,Recruitment consultant,Sutton Coldfield
3,9,Danny,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,4,OUT,Bryden,45,Intensive care consultant,Sheffield
3,9,James,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",1,STAR BAKER,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,9,John,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,2,IN,Whaite,22,Law student,Wigan
3,10,Brendan,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,2,Runner-up,Lynch,63,Recruitment consultant,Sutton Coldfield
3,10,James,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,1,Runner-up,Morton,21,Medical student,"Hillswick, Shetland Islands"
3,10,John,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,2,WINNER,Whaite,22,Law student,Wigan
4,1,Ali,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",11,IN,Imdad,25,Charity worker,"Saltley, Birmingham"
4,1,Beca,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,8,IN,Lyne,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,1,Christine,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,3,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire"
4,1,Deborah,Pineapple Cake,'Coffee Time',9,IN,Manger,51,Dentist,Peterborough
4,1,Frances,Giant Jam Sandwich,Secret Squirrel Cake,7,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,1,Glenn,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,4,IN,Cosby,37,English Teacher,"Teignmouth, Devon"
4,1,Howard,Passion Fruit and Coconut Cake,Black Forest Revisited,6,IN,Middleton,51,Council Worker,Sheffield
4,1,Kimberley,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake",10,IN,Wilson,30,Psychologist,London
4,1,Lucy,Timperley Early Cake,Thyme 'Wildwood' Cake,2,IN,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire"
4,1,Mark,Lemon and Poppy Seed Cake,Chocolate Monster,5,IN,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes
